rfid_tag,uri,uri_type,uri_name,uri_desc,action
584192962111,0RYvTmfj4wrDhKbrUC7nYe,playlist,Shantik,Indon and misc,
584193814024,2NlDIQiQhI4CniO1EyN82Y,playlist,Violin,Soothing violin,
584194076172,4E78V0oVhcYpetQbQtyIE3,playlist,Clayderman,Pianos,
584193551876,6S31ob8SJNZipCsghWDA62,playlist,Cliff Richard,Good ole Cliff,
584196501105,3LzyS0MUce6XWy9QxzyKdB,playlist,Nostalgia,oldies but goodies,
584193289728,0gNzGmOdjDjuXKzwmwQvQI,playlist,Madonna,Mad for Madonna,
584196238957,4TMdrdJbK7QL48OmgVyGQs,playlist,Numix,Only the new stuff,
584197549633,0tMlqCr562ydpZ7E5UvZO8,playlist,ONJ,Hopelessly devoted,
584197287549,2Xk1rlUTxDaeT1OYooqoz9,playlist,U2,There can only be one,
584192503348,6BLfbviFJZ51FBhFtZTO7K,playlist,Disco,yeah baby,
584192241200,197kkyv5HZ1fiCNWSe2ubV,playlist,Malayu,Back home,
584197811781,,action,,,next
584195714661,,action,,,previous
584195190301,,action,,,pause
584195452513,4Euq57Egm8s8GXQMfxANOw,playlist,kpoop,yech,
584191323686,4bHsxqR3GMrXTxEPLuK5ue,track,Don't Stop Believin,Journey,
584194928153,1FvdZ1oizXwF9bxogujoF0,album,She's So Unusual,Cyndi Lauper,
